Product Name;Category;Price (€);Quantity Sold;Revenue Total;Transaction Date;Country ;Store-ID;Duplicate Col;Duplicate Col 
Product 80;;;NaN;4748;;France;;X;X
Product 81;Drink;193;NaN;2842;02-07-2019;Portugal;;X;X
Product 82;Snack;1808;39;2,419.36;2018-09-30;Germany;S-33;X;X
Product 83;Drink;3912,13;97;1001;2024-08-04;Germany;S-25;X;X
Product 84;Drink;621;13;852;08/07/2019;;;X;X
Product 85;Snack;4,180.00;NaN;4211;17-05-2023;Germany;;X;X
Product 86;;2219,04;19;3,798.64;15-07-2021;Germany;;X;X
Product 87;;;12;117;10/12/2021;France;;X;X
Product 88;Snack;185;NaN;1,353.27;21/10/2024;Portugal;;X;X
Product 89;Drink;2,401.04;NaN;;04-07-2023;;;X;X
;Drink;2043,05;NaN;3169;29/03/2023;Portugal;;X;X
Product 91;;1382;NaN;4942;05-10-2019;;S-9;X;X
Product 92;Food;;NaN;4,342.38;11/06/2021;;;X;X
Product 93;Food;899;2;2392;20-11-2022;France;S-9;X;X
Product 94;Food;;NaN;746;18-01-2023;;;X;X
Product 95;Drink;636.11;50;950,32;2020-05-17;;;X;X
Product 96;Drink;734,51;40;215,05;2018/12/23;;;X;X
Product 97;;1163,36;;;29/06/2019;Portugal;;X;X
Product 98;Food;;NaN;2667,48;25/10/2021;;;X;X
Product 99;;2899,45;NaN;3095;2023/06/13;;;X;X
Product 100;;2,767.04;;1203,85;;;S-19;X;X
Product 101;;304;NaN;3,737.20;2020/09/07;France;;X;X
Product 102;Snack;4876,41;;817;03-06-2018;;;X;X
Product 103;Food;3391;;;24-10-2018;France;;X;X
Product 104;Food;2702,21;;;04-08-2019;Portugal;;X;X
;Snack;3002;;;30-06-2022;France;;X;X
Product 106;Snack;;;;28-11-2020;Germany;;X;X
Product 107;Food;565,91;NaN;;2023/12/05;France;;X;X
Product 108;Snack;1184;NaN;1,452.36;08-11-2023;Portugal;;X;X
Product 109;;;NaN;2,531.31;2018/04/26;Portugal;;X;X
Product 110;Drink;;19;185,07;2022/04/22;Germany;;X;X
Product 111;;4,379.27;;2301,01;28/04/2019;Germany;;X;X
Product 112;Food;123;81;3672,70;2018-11-23;France;S-13;X;X
Product 113;Snack;;;3665,81;30-06-2022;Portugal;;X;X
Product 114;Drink;4486;NaN;676;2022-05-31;;;X;X
Product 115;Food;2353;24;2618,56;21-09-2019;;;X;X
Product 116;Snack;3,109.58;;1859;2019/08/11;Portugal;;X;X
Product 117;Drink;1841;;4712,22;2021-09-28;Germany;;X;X
Product 118;Drink;4651,54;15;;2020/04/08;Portugal;S-31;X;X
Product 119;Snack;531.16;NaN;1536,95;2022-08-10;Germany;S-29;X;X
;Drink;4040;NaN;127;;France;;X;X
Product 121;Food;;97;2920,86;2024-09-27;France;;X;X
Product 122;Snack;4153,63;71;3289,47;2018/11/08;France;;X;X
Product 123;;3,285.30;43;2,196.61;2023-11-02;Germany;;X;X
Product 124;Food;1905,45;;3438;2022-07-06;Portugal;;X;X
Product 125;Food;4,775.90;;4,587.58;28-08-2018;;S-42;X;X
Product 126;Snack;;NaN;4995;2021/10/19;;S-21;X;X
Product 127;Snack;2694,84;NaN;2,842.20;06/01/2018;;;X;X
Product 128;Drink;4237,98;NaN;;24/06/2022;Portugal;S-9;X;X
Product 129;Food;;61;1445;26-08-2019;;;X;X
Product 130;Drink;1,584.70;;427,99;04/12/2019;Germany;;X;X
Product 131;Food;4180;;294,98;2023/04/29;Portugal;S-21;X;X
Product 132;Food;4555;;3356;2018/03/30;;S-28;X;X
Product 133;;1215;;3,425.29;18/04/2021;Germany;;X;X
Product 134;Food;1154;91;375;23/09/2019;;;X;X
;Drink;3740,94;69;1852,34;2022-09-14;France;;X;X
Product 136;Drink;;NaN;1085;11-10-2019;;S-14;X;X
Product 137;;;;;2024/04/13;;;X;X
Product 138;Drink;1809;NaN;2748,17;13/05/2022;;;X;X
Product 139;Snack;2802,29;NaN;1935,19;2021-03-06;France;;X;X
Product 140;;;58;;;Portugal;;X;X
Product 141;Drink;;NaN;4833;19/03/2022;Portugal;;X;X
Product 142;Drink;3,931.52;17;3237;2023/01/26;France;;X;X
Product 143;Snack;2,846.71;;580.08;2024/09/03;France;;X;X
Product 144;;4,628.58;41;1727,82;31-12-2021;Portugal;;X;X
Product 145;Snack;;NaN;1660,66;11/08/2018;France;;X;X
Product 146;;3,370.53;NaN;2834,04;2020-05-25;;S-11;X;X
Product 147;;3027;NaN;1,329.17;2023-04-14;Germany;S-37;X;X
Product 148;Food;1707,86;NaN;;2018/06/26;;;X;X
Product 149;Drink;;25;258.75;2022/03/24;Portugal;;X;X
;Drink;2,525.13;NaN;325.20;2018-06-19;;;X;X
Product 151;Food;2,880.06;;2699,42;18-08-2022;;;X;X
Product 152;Snack;;17;523;2021-06-05;;;X;X
Product 153;Food;77,56;NaN;610,82;07-03-2022;;;X;X
Product 154;Drink;;;;2023/07/22;;;X;X
Product 155;Drink;3,714.27;NaN;;2019/06/22;Germany;S-29;X;X
Product 156;Food;;;4230;03-04-2018;France;;X;X
Product 157;Food;119.66;34;1039;2021-01-24;Portugal;S-1;X;X
Product 158;Food;4,949.67;NaN;3081;2021/07/18;France;;X;X
Product 159;Drink;;16;;11-03-2018;Portugal;S-21;X;X
Product 160;Food;4521;50;;;France;;X;X
Product 161;Food;637.26;;4817,43;21-09-2021;;;X;X
Product 162;Snack;3559,92;46;;2022/08/26;Germany;;X;X
Product 163;Food;1684;NaN;933;08-06-2021;Germany;;X;X
Product 164;Drink;2957,39;;1738,81;11/10/2020;France;S-1;X;X
;Snack;4970,67;NaN;4246,79;2019/01/28;;S-15;X;X
Product 166;;368;;;2024-03-22;Germany;;X;X
Product 167;Drink;;35;4,483.44;24-05-2024;France;S-48;X;X
Product 168;Drink;;28;;26/06/2021;;;X;X
Product 169;;;NaN;725,16;2021-02-02;Portugal;;X;X
Product 170;Drink;3,500.57;62;2728;03/03/2021;Portugal;;X;X
Product 171;;3618,54;NaN;1,604.40;2022/06/29;France;;X;X
Product 172;;761,28;47;1503,21;2021/04/06;Germany;;X;X
Product 173;Drink;2967;30;;2018-11-21;Germany;S-24;X;X
Product 174;Food;;NaN;3596,05;2022-10-12;Germany;;X;X
Product 175;Food;;58;;26/07/2018;France;S-2;X;X
Product 176;;883;;3,371.27;20/07/2019;Germany;;X;X
Product 177;Snack;4723,84;;1,588.00;2022/10/16;Portugal;;X;X
Product 178;;;4;;25-09-2022;Germany;;X;X
Product 179;;;4;194,88;08/09/2024;Germany;S-9;X;X
;;;96;4,613.78;;Portugal;S-1;X;X
Product 181;Food;1,592.89;;3910,70;17-09-2022;;;X;X
Product 182;Food;4767,57;;4719;2019/07/05;France;;X;X
Product 183;Food;4,069.94;NaN;3862,96;2020/07/28;Germany;;X;X
Product 184;;2152;;4056,69;03-02-2019;Germany;S-5;X;X
Product 185;Snack;2875;NaN;;2024-02-03;Portugal;S-21;X;X
Product 186;Food;497;NaN;4707,46;2021-05-22;Portugal;;X;X
Product 187;Drink;827;;4,969.70;10-01-2024;;;X;X
Product 188;Drink;;NaN;3,308.83;16-01-2022;;;X;X
Product 189;Drink;1,118.17;NaN;;2019/02/28;;;X;X
Product 190;;1442;NaN;4288;27/07/2022;;;X;X
Product 191;Drink;4944,03;NaN;3664;2019-04-23;France;S-7;X;X
Product 192;;4622;65;3549;14/07/2024;;;X;X
Product 193;Drink;705.02;NaN;3113;12-04-2022;France;;X;X
Product 194;Snack;2,760.82;52;1,323.44;24-01-2022;;;X;X
;;136,75;91;1489;2021-02-01;Portugal;;X;X
Product 196;Drink;4,799.28;;4,104.14;30/11/2019;Germany;S-14;X;X
Product 197;Food;33,33;NaN;2025;13-09-2023;Portugal;;X;X
Product 198;;1847;;;22-10-2022;Portugal;;X;X
Product 199;Food;;;;2018/02/18;Portugal;;X;X
Product 200;Food;3,660.45;;;;France;;X;X
Product 201;Food;4155;56;4199;2020/12/29;Germany;;X;X
Product 202;Food;4589,98;66;2743,52;2023-04-27;France;;X;X
Product 203;Drink;;;187,63;16-01-2024;Germany;;X;X
Product 204;Drink;2466,28;75;4,760.97;2024/05/02;France;;X;X
Product 205;;4322;27;2,827.63;18/09/2018;Germany;;X;X
Product 206;;3658,17;16;;2024-10-04;France;S-21;X;X
Product 207;;4842,20;22;742;2020-11-06;Germany;S-37;X;X
Product 208;Drink;3,721.39;NaN;;2024-01-21;Portugal;S-47;X;X
Product 209;;3636;;;10-09-2023;Portugal;;X;X
;Food;783;72;3,087.65;30/07/2019;Portugal;S-28;X;X
Product 211;Drink;1380,54;57;;2021/07/24;;;X;X
Product 212;;3534;;2293,86;2023-05-27;France;S-14;X;X
Product 213;Food;4461,36;NaN;57,86;27/02/2021;Portugal;;X;X
Product 214;;2166;;2,553.40;2023-03-28;Portugal;;X;X
Product 215;Snack;951,99;NaN;1257,22;31/07/2024;Portugal;S-36;X;X
Product 216;;4745,91;68;2,516.59;2018-12-10;;;X;X
Product 217;Snack;;NaN;3165,27;2020-01-19;France;;X;X
Product 218;;4,360.57;;3,579.29;2019/09/09;France;S-34;X;X
Product 219;;3366;;954,98;2024/07/15;Portugal;S-33;X;X
Product 220;Drink;;;;;;;X;X
Product 221;Drink;;33;2881,67;2020/07/27;;S-18;X;X
Product 222;Snack;1,413.00;59;2,809.63;28/05/2020;Germany;;X;X
Product 223;Drink;3173,86;;;2021-03-26;France;S-40;X;X
Product 224;Food;4,754.16;;;06-11-2019;;;X;X
;Food;15,99;;3214,66;25-08-2022;France;;X;X
Product 226;Snack;2,453.46;52;411.73;2019-12-30;Germany;S-29;X;X
Product 227;Food;3549,95;NaN;2948;2022/10/10;Portugal;;X;X
Product 228;Food;2090;;3,667.49;25-05-2022;Portugal;S-15;X;X
Product 229;;3,066.89;92;;2018-06-27;Portugal;;X;X
Product 230;Drink;;NaN;;2019/09/16;France;;X;X
Product 231;Food;2,652.31;20;;2021-05-29;Portugal;;X;X
Product 232;Food;4,389.45;NaN;3879,42;2018-10-14;Portugal;;X;X
Product 233;Drink;;NaN;4254,28;03/05/2019;;S-38;X;X
Product 234;Food;;17;2773,38;2018-04-29;Portugal;;X;X
Product 235;Food;;75;3367,04;2022-01-09;Germany;;X;X
Product 236;Drink;1,477.09;;3,711.42;26-09-2019;;S-19;X;X
Product 237;;561;69;;2019/01/04;France;S-25;X;X
Product 238;Food;;NaN;;2022/02/22;Portugal;S-32;X;X
Product 239;Drink;;;;12-09-2019;Portugal;S-17;X;X
;Food;;;;;France;;X;X
Product 241;Food;4781,58;NaN;1,142.63;2023-01-01;Germany;S-32;X;X
Product 242;;;NaN;1092;2021-01-23;Germany;S-10;X;X
Product 243;Snack;;27;;2018/08/01;Portugal;S-36;X;X
Product 244;Snack;;;;05/01/2022;France;;X;X
Product 245;Drink;3,005.29;;2141;06-11-2023;France;;X;X
Product 246;Snack;144;NaN;1771,10;2022/07/23;Germany;;X;X
Product 247;Drink;;NaN;3243;2022-11-04;France;;X;X
Product 248;Snack;304;NaN;4157,39;2018/04/14;France;;X;X
Product 249;;1308;98;3393,88;05/08/2021;France;;X;X
Product 250;Drink;;;2741,99;2022-04-09;Germany;;X;X
Product 251;Snack;2126;;2,080.45;2021-10-05;;;X;X
Product 252;;4561;;1803,54;2023/08/18;Portugal;S-41;X;X
Product 253;Snack;2,427.53;;1757;16-04-2021;Germany;;X;X
Product 254;Food;1699,21;30;4455;2021-02-06;Germany;;X;X
;Food;;24;1558,15;07-04-2020;Portugal;S-26;X;X
Product 256;;1,106.55;NaN;2925;2019-08-19;Germany;;X;X
Product 257;Food;2680,07;34;3,874.18;09/03/2019;Portugal;;X;X
Product 258;Food;4739;NaN;;17/11/2019;Germany;;X;X
Product 259;Drink;646,08;;329,16;2018/11/15;France;S-48;X;X
Product 260;Snack;4751,39;NaN;1,859.01;;Germany;;X;X
Product 261;Drink;4012,06;12;2981,13;09-12-2020;Germany;;X;X
Product 262;Snack;3902;NaN;2201,09;26-07-2020;Germany;;X;X
Product 263;Food;4561,14;;2906,31;2022-09-30;;;X;X
Product 264;Drink;3,274.66;45;3709;2019/12/19;Portugal;;X;X
Product 265;Snack;1,810.49;;3,056.49;2022/02/14;Portugal;;X;X
Product 266;Snack;;24;2065;2024/02/09;;S-43;X;X
Product 267;Drink;4,298.61;;3,049.57;27-04-2024;Portugal;;X;X
Product 268;;1,450.94;96;669,66;10/09/2021;France;S-27;X;X
Product 269;Snack;4553;NaN;2249;2022/08/15;Portugal;;X;X
;Food;2,066.98;88;2817,46;2023-06-27;France;;X;X
Product 271;Snack;4700,07;NaN;;2018/08/21;;S-44;X;X
Product 272;Food;4227,41;;2177;09/08/2022;;;X;X
Product 273;Drink;;NaN;1856,75;2023/11/16;Portugal;S-17;X;X
Product 274;Snack;211;93;;08/03/2021;Portugal;S-9;X;X
Product 275;Food;1,507.33;;1,694.95;2019-08-22;France;;X;X
Product 276;Food;3,157.78;NaN;3689,05;2024-01-26;Germany;S-49;X;X
Product 277;Drink;168,89;13;;17-01-2019;;;X;X
Product 278;Snack;;;1,772.08;27-06-2018;Germany;S-9;X;X
Product 279;Snack;3,276.38;;4465;31/12/2019;France;;X;X
Product 280;Drink;4091;;262.19;;;;X;X
Product 281;Snack;4309,92;NaN;;2024/05/04;Portugal;S-34;X;X
Product 282;Drink;;NaN;178.89;2022-11-12;France;;X;X
Product 283;Snack;100.77;;4734,14;08-03-2020;Portugal;;X;X
Product 284;;;;;2019/01/17;Germany;S-4;X;X
;Snack;971;22;;2019-02-23;France;;X;X
Product 286;Food;;80;2210;30/01/2018;Germany;;X;X
Product 287;Food;2561,78;NaN;;2023/07/24;Portugal;S-50;X;X
Product 288;;;97;4,757.58;31/05/2024;France;;X;X
Product 289;Snack;1013;14;3860;24/05/2019;;;X;X
Product 290;Food;;;4712;06-02-2018;Germany;;X;X
Product 291;Food;;NaN;;01-10-2023;;S-40;X;X
Product 292;Snack;;;1,422.27;2018-05-30;Portugal;S-18;X;X
Product 293;Drink;;;2482,34;26-07-2023;Portugal;S-17;X;X
Product 294;Snack;1,422.11;;;05-09-2021;;;X;X
Product 295;Drink;;;2728,45;2019/01/17;Germany;;X;X
Product 296;;3637;NaN;1037,44;2022/01/23;Germany;;X;X
Product 297;;3813,50;;4281,23;29/04/2022;France;;X;X
Product 298;Food;2261,35;;15.30;2020/02/11;France;S-26;X;X
Product 299;Food;1,986.74;73;4011,02;28-07-2023;;S-33;X;X
;Food;;NaN;2,513.89;;France;S-19;X;X
Product 301;Drink;2815;55;1285,41;18-06-2021;Portugal;;X;X
Product 302;Food;1662,18;;;2018/09/15;Portugal;;X;X
Product 303;Snack;476.95;;48,15;13-10-2021;Portugal;;X;X
Product 304;Drink;;NaN;2884;2023/09/21;Portugal;;X;X
Product 305;;2967,05;NaN;2445;2018/01/29;;;X;X
Product 306;Drink;;45;;2019-05-07;France;S-25;X;X
Product 307;Food;2,617.03;NaN;1992,93;2024/07/30;Portugal;;X;X
Product 308;Snack;;NaN;;2024-09-09;France;S-39;X;X
Product 309;Snack;1260;NaN;1303;07-01-2022;Portugal;;X;X
Product 310;Food;3,702.56;39;4478,98;14/03/2018;Germany;;X;X
Product 311;Snack;;;1403;09-06-2019;Portugal;S-15;X;X
Product 312;Drink;4357;17;;21/07/2022;Portugal;;X;X
Product 313;Drink;;NaN;;2021-10-25;Germany;;X;X
Product 314;Food;2727;78;4,793.05;13/08/2018;Portugal;;X;X
;Snack;4,797.38;;625.69;2019/02/02;;;X;X
Product 316;;;52;;2020-10-13;France;;X;X
Product 317;Drink;2572,16;47;661,17;17-09-2023;France;S-16;X;X
Product 318;Drink;;5;93;18/05/2018;Portugal;;X;X
Product 319;Drink;;10;3902,61;2020-07-18;Germany;;X;X
Product 320;Drink;636,41;NaN;;;;;X;X
Product 321;;810,47;;96.64;2019/10/27;;S-21;X;X
Product 322;Food;;NaN;2616;08-08-2022;;S-42;X;X
Product 323;Drink;4348,75;;;22-05-2023;France;;X;X
Product 324;Snack;;37;1778;17-09-2022;Portugal;;X;X
Product 325;;;96;2923,63;22-01-2018;Portugal;;X;X
Product 326;Drink;;;3536;2021-04-18;Portugal;;X;X
Product 327;Snack;1997;NaN;;2018-08-20;;S-8;X;X
Product 328;Drink;587;21;4,516.13;2018-09-29;Germany;;X;X
Product 329;Food;3599;NaN;;09/04/2023;;S-1;X;X
;;2612;78;4896;26-04-2024;Portugal;;X;X
Product 331;Food;2,819.05;12;950,96;23/07/2023;Portugal;S-28;X;X
Product 332;;707.59;NaN;2,661.21;2019/12/22;Germany;;X;X
Product 333;Drink;4014;51;1166;2023/11/30;Germany;S-37;X;X
Product 334;Drink;2596;;;2021-12-09;France;S-8;X;X
Product 335;;2,360.55;NaN;421;29-10-2021;Portugal;S-22;X;X
Product 336;Snack;4,681.01;78;1,518.30;28/05/2018;;;X;X
Product 337;Snack;;NaN;3,659.59;23/11/2020;;;X;X
Product 338;Drink;;NaN;;2021-03-05;Germany;;X;X
Product 339;Drink;;74;;2022-12-04;;;X;X
Product 340;Food;335,24;;3855,68;;France;;X;X
Product 341;Drink;1,559.20;NaN;3102,40;2018-07-24;Portugal;;X;X
Product 342;;996,34;85;;2020/08/13;Germany;S-13;X;X
Product 343;Snack;2688;;;2023-07-10;Germany;S-28;X;X
Product 344;Snack;;NaN;;02/10/2021;France;;X;X
;Food;2972,27;;1,961.73;2020/06/17;France;;X;X
Product 346;Snack;1,752.26;86;523.44;2024/08/24;;;X;X
Product 347;Snack;1724,79;;3,269.62;27-09-2020;France;S-42;X;X
Product 348;;4639;24;3552,40;10-03-2021;Portugal;S-24;X;X
Product 349;Snack;;NaN;65;2022-03-16;Portugal;;X;X
Product 350;Food;2922;51;4,662.43;26/10/2022;France;S-29;X;X
Product 351;Food;;6;3211;2022/07/06;;;X;X
Product 352;Snack;4,671.54;98;785.35;04/05/2020;Portugal;;X;X
Product 353;Drink;387.38;59;1477,01;09-09-2023;;S-8;X;X
Product 354;Snack;514.88;;1,586.72;19-04-2020;Germany;S-26;X;X
Product 355;Food;1399;NaN;;13/07/2024;Germany;;X;X
Product 356;Food;2,818.30;23;2459,70;2020-10-28;France;;X;X
Product 357;;;NaN;;2018/09/19;Germany;S-10;X;X
Product 358;Snack;1650;NaN;221,12;2019/07/15;Germany;S-26;X;X
Product 359;Snack;;;;2022/09/11;Portugal;;X;X
;;1046,53;;;;France;;X;X
Product 361;Food;3,916.82;NaN;2,510.19;20-02-2019;;;X;X
Product 362;;456.69;61;3,528.40;2021-12-19;France;S-46;X;X
Product 363;Drink;;NaN;;2022/11/03;France;S-45;X;X
Product 364;Snack;4373;;1,802.67;16/05/2020;;;X;X
Product 365;Food;388,94;;3,777.30;2018/04/16;France;;X;X
Product 366;;;80;2783;2021-04-23;France;;X;X
Product 367;Food;;;1252,71;14-07-2022;;S-21;X;X
Product 368;Drink;1635,45;60;3139;2022-02-23;;;X;X
Product 369;Snack;;16;3609;04/02/2021;France;;X;X
Product 370;;;;88.81;27/04/2022;Germany;;X;X
Product 371;Food;3531;NaN;;12/02/2023;Germany;S-26;X;X
Product 372;Snack;1558;80;968.19;20-10-2021;;;X;X
Product 373;Snack;2,653.43;NaN;;06/10/2020;France;S-50;X;X
Product 374;Food;4776;64;;2018-06-01;;S-31;X;X
;Snack;;81;3013,37;08/07/2024;France;;X;X
Product 376;Snack;;;2615;2019/09/28;Germany;S-6;X;X
Product 377;;3475;NaN;;2018-10-25;France;;X;X
Product 378;Snack;;NaN;4,982.16;27-04-2023;Germany;;X;X
Product 379;;3,260.46;;;2019/04/30;France;S-17;X;X
Product 380;Snack;126;NaN;3,968.28;;France;;X;X
Product 381;Drink;4276;NaN;916.54;12/12/2021;;S-8;X;X
Product 382;Drink;3,642.46;NaN;4328;24-10-2022;;;X;X
Product 383;;3,084.87;;3,313.98;2020-09-18;Germany;S-16;X;X
Product 384;;1,912.29;97;110,80;2023/06/04;Portugal;S-9;X;X
Product 385;Drink;4665,96;NaN;2331,48;2019-10-05;;;X;X
Product 386;Snack;979;NaN;3089;2019/03/03;;;X;X
Product 387;;2630,01;;;2019-06-26;;;X;X
Product 388;Food;2930;;2581,93;04/07/2024;;S-48;X;X
Product 389;Snack;470;;378,51;11/11/2022;Portugal;S-29;X;X
;Snack;4579,04;NaN;2,578.07;2022-09-16;;;X;X
Product 391;Drink;3033,87;38;4,560.14;24-06-2024;Germany;;X;X
Product 392;;;90;4649;11-06-2018;Germany;;X;X
Product 393;Snack;1991;;4046,86;2020/02/18;Germany;S-45;X;X
Product 394;;1370,87;;896.74;2022-01-30;France;;X;X
Product 395;;4855,70;7;3014;2020-08-10;Germany;S-2;X;X
Product 396;;;49;1735,31;07/04/2018;Germany;;X;X
Product 397;Drink;;;2,539.76;17-05-2024;Germany;S-11;X;X
Product 398;;;;3893,70;26-01-2024;Germany;S-45;X;X
Product 399;Drink;3749,68;;;2020/03/07;Portugal;S-47;X;X
Product 400;Food;190,97;;3763;;;;X;X
Product 401;Snack;3,064.60;;723;2024/09/03;;S-33;X;X
Product 402;Snack;3,528.20;NaN;118;16/02/2019;Germany;;X;X
Product 403;Food;4,354.57;NaN;1,111.87;2020-07-11;France;;X;X
Product 404;Drink;414,12;NaN;229.12;2023/04/19;Germany;;X;X
;Snack;280,24;;2974,16;01-04-2022;France;;X;X
Product 406;Drink;1571;NaN;3251,83;2021/05/20;France;;X;X
Product 407;Drink;4,917.02;NaN;;17-10-2020;;;X;X
Product 408;Drink;3275,53;;2236;2023-06-28;France;;X;X
Product 409;Food;1663;NaN;1670,24;24-10-2024;Germany;;X;X
Product 410;Food;4,488.68;;3,886.51;04/11/2020;;;X;X
Product 411;Drink;4528;NaN;4859;2019/07/14;;S-30;X;X
Product 412;;;95;;22/08/2022;Portugal;;X;X
Product 413;Food;2081,89;;3,564.90;2023/09/13;Portugal;;X;X
Product 414;;324.77;;;06-10-2018;Portugal;;X;X
Product 415;;3644,79;83;;27/04/2018;Germany;S-43;X;X
Product 416;Drink;862,93;NaN;339.81;25/03/2019;Germany;;X;X
Product 417;;1,377.63;;;2018-09-18;France;S-12;X;X
Product 418;;;;1404;2021/05/13;;S-48;X;X
Product 419;;864,84;;3822,40;27/06/2019;Portugal;S-48;X;X
;Drink;1555;64;4,154.88;;;;X;X
Product 421;Drink;;NaN;749;2024-01-26;Portugal;;X;X
Product 422;Food;2840,87;NaN;2183,68;2021/06/30;;;X;X
